chunk1,chunk2,vector
sitting,sitting,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
A white cat,A pretty white striped cat,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]"
on a carpet,the table,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
in front of an apartment building,in front of building,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
on the ground,under a tree,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
The black bird,with a cow,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
of a cat,of a horse,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
A close-up,A close-up,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
are swimming,fly,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
The birds,Birds,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in the water,over water,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
on a crowded street,on a public street,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
A red double decker bus,A white bus,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
in a field,in a field,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
grazing,grazing,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A group,A brown horse,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]"
near a field,in the grass,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
sitting,is sitting,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
Two women,Two women,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in the kitchen,in kitchen,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
toward the camera,towards the camera,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
moving,flying,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
"with table , chair and sofa","with a blue sofa , camp bed , wooden bench and dresser","[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
A living room,A living room,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in the background,in the background,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A steam engine,A train,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
a train track,at a train station,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
sitting,sitting,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
Two women,Two women,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
outside,outside,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]"
sitting,standing,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
toward the camera,at the camera,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
The bird,The sheep,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
on the branch,under the trees,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
is sitting,is standing,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
looking,is looking up,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
A brown and white cow,The black and white cat,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
into the camera,at the camera,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
along the beach,'s shore,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
walking,walk,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A man and a woman,A man,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
A black and white dog,A small black and white goat,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
at the camera,at the camera,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
looking,looking up,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
Red double decker bus,A red double decker bus,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A young boy,A young blonde girl,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]"
A group,A group,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
of people,of four people,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
The cat,Than horse,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
in front of a door,in front of a fence,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
is sitting,standing,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
A man,A runner,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
in a riding hat,riding,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
on a horse,a brown horse,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
A girl,A girl,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A group,A group,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
of peoples,of cyclists,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
A car,A silver car,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
of the road,of the road,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
the side,on the side,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
is lying,lies,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
The black dog,A black dog,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in the grass,on the grass,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Large white cruise ship,Large cruise ship,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
floating,floating,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
on water,on the water,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
with a motorcycle,with a classic motorcycle,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
a car,in a classic car,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
A black and white photo,A black and white photo,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
of a man,of a man,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
someone,a man,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]"
on the gloved hand,'s gloved hand,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
of a person,on a person,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
perches,is perched,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A blue bird,A bird,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
riding on,riding,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
a brown and white horse,a brown horse,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
A girl,A girl,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in a riding hat,riding,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
A girl,A girl,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
on a horse,a tan horse,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
is sitting,is perched,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
The bird,A red and brown bird,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]"
on the branch,on branches,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
at a black sheep,at a brown sheep,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
looks,looking,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A black and tan dog,A black dog,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
jumping,jumping,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
a man,A man,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
very high,with the sky,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
on a dirt bike,on a motorbike,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
The man,A man,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
at a messy table,on a messy table,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
a laptop,a laptop computer,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
is sitting,sits,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Four children,Children,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
at barn animals,a sheep,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
looking,looking,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
is standing,standing,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
next to a car,next to a small red vehicle,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]"
A scantily clad woman,A scantily clad woman,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A red and blue plane,A WWII fighter plane,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
down,down,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
with its landing gears,with its landing gear,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in a restaurant,in an Italian restaurant,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
Four women and two men,A group,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
at a long table,at a table,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
sit,sit,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
with a blue halter,a blue halter,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Close up,A close up,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
of a brown horse,of a horse,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
in a rural area,in a field,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
A yellow school bus,A yellow school bus,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
is parked,parked,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A sheep,Woolly sheep,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
at auction,at auction house,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
a train,The train,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
on his tracks,the track,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
rides,comes down,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]"
on a city street,on a city street,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A double decker red United bus,A double decker bus,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
on a carpeted floor,on white carpeting,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
A tan puppy,Tan puppy,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A young girl,A woman,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
riding,in riding,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
a brown horse,a brown horse,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in a station,in a station,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Train,a train,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
standing,standing,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A blue bird,Blue bird,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
on a lawn,on green grass,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
a horse,on the brown horse,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
A woman equestrian,The woman,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
riding,is riding,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
going down,traveling,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
Train,A black steam train,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
the tracks,on the railroad tracks,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A large cruise ship,A cruise ship,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
in harbor,at a coast,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
a road intersection,a paved street,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
crossing,cross,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Two cows,Two cows,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in a plain,in a field,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
stands,standing,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A black cow and a brown cow,A black cow and a brown cow,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in front of an uprooted tree,in front of a small copse,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
at a table,at a restaurant table,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
of people,of people,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
eat,sitting,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
A group,A group,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
sitting,sitting,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
at a restaurant table,at table,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A group,Group,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
of people,of people,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
the window,at a window,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
looking out,are looking,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
Two cats,Two cats,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
cutting,cuts,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
into food,a cake,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]"
in blue shift dress,in a blue dress,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Woman,A woman,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
atop a red an yellow motorcycle,on a red and yellow motorcycle,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Two brunette girls,A couple,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
sit,posing,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]"
A man,A man,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
of a red tandem bicycle,of a tandem bicycle,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
on the back seat,on the back,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
A computer,A computer,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
on a desk,on a desk,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Home office space,Small office space,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
with bright green walls and artwork,with bright green walls,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
on a beach,on shore,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
Yellow boat,A yellow boat,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
on the blue clothed dining table,with a blue table cloth,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
A kitchendiner,A small kitchen and a cluttered table,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]"
is sitting,is standing,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
on the window ledge,on the window sill,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
looking,looking,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A gray cat,The cat,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
at the camera,at the camera,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
taking of,taking off,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A green and white cargo plane,White and green commercial airliner,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
from an airport,of runway,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
inside and black and white furry enclosure,"inside a cow-schemed , fur-covered dome","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
are,are sitting,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
Two cats,Two baby kittens,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
A close-up view,A side view,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
of a horse,of a horse,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
's head,'s head,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
An old fashioned wooden sailing ship,A wooden yacht,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
in the ocean,on the ocean,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A white plane,A white airplane,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
on the runway,on a runway,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Elegant dining room,An elegant pink dining room,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
with wood furniture,with wooden furniture,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
jumping,jumping,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A man,A man,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
his dirt bike,on a bike,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
with green eyes,with green eyes,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
at the camera,into the camera,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A gray cat,A gray cat,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
looks,looking,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
is sitting,sitting,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A black and white cat,Black and white cat,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
looking up,looking up,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
on a brown chair,on wood chair,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
A man,A man and woman,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
with a wine bottle,with a bottle,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Boy,A boy,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
a sheep,a sheep hay,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]"
feeding,feeding,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
is standing,stands,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
on the green hill,on a hillside,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
The white sheep,A sheep,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
of a dilapidated wooden fence,of an old wooden fence,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A black and white photo,A black and white photo,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
taxing,sitting,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
along a runway,on the tarmac,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
An AeroMexico jet,A silver AreoMexico Jet Liner,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
of people,of people,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A group,A group,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
sitting,sitting,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
around a table,around a table,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
is parked,parked,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A bicycle,A green bike,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
outside a bookstore,outside a book store,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
window,of a window,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
looking out,looking out,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Domestic cat,A white cat,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
in a living room,in a living room,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
with a black dog,with a black dog,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Two women,Two women,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
stand,standing,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
a red canoe,in a red canoe,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Two people,Two people,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
paddling,paddling,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
push,walking,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
A woman and child,A women and a young girl,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
down the sidewalk,along the sidewalk,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
strollers,pushchairs,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
around a table,around a table,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
of people,of people,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
sitting,sitting,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A group,A group,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
on a blanket,on a purple blanket,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
A black and white cat,A black and white cat,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
lying,sleeping,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
A red and gray train,A red and gray train,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
is going,travels,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
through a tunnel,through a tunnel,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
of a living room,A living room,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in the background,in the background,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
with a dining room,with large sofas and a dining table,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
a bike helmet,a helmet,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
A person,A person,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
wearing,wearing,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
by a shop,outside a book store,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
A bicycle,A green bike,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
is parked,parked,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
driving,driving,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Red double decker bus,Red double decker bus,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
through the streets,down a street,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
laying,lying,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
on a brown table,on a wooden table,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
A gray cat,A gray cat,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A close-up,A close-up,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
of a brown horse,of a horse,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
A black and white image,Black and white picture,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
laying,laying,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
on a rug,on a rug,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
of a cat,of a cat,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A pile,Pile,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
with a chair,with chair,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
of used wooden building materials,of wooden debris,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
on top,on top,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
with multiple desks and green walls,with bright green walls,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
An office,Small office space,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
on a flowerpot,on a flowerpot,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A bird,Bird,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
perched,perched,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
on top,on a horse,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Young woman,Young girl,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
